positionId,positionName,companyFullName,companyShortName,companySize,financeStage,industryField,companyLabelList,firstType,positionLables,industryLables,createTime,city,district,businessZones,salary,salaryMonth,workYear,jobNature,education,positionAdvantage
8590878,运营数据分析经理,常相伴（武汉）科技有限公司,伴伴,500-2000人,不需要融资,社交平台,"['午餐补助', '弹性工作', '扁平管理', '带薪年假']",运营|编辑|客服类,['数据分析'],[],2021/4/26 23:12,北京,朝阳区,,20k-40k,0,3-5年,全职,本科,全额五险一金，零食下午茶，免费早晚餐
8325317,数据分析师,北京微财科技有限公司,微财数科,500-2000人,未融资,科技金融,"['五险一金', '交通补助', '带薪年假', '定期体检']",产品|需求|项目类,"['科技金融', '数据分析', '用户研究', '产品策划']","['科技金融', '数据分析', '用户研究', '产品策划']",2021/4/25 15:25,北京,海淀区,,15k-25k,14,1-3年,全职,本科,独角兽 团队年轻 发展空间大 六险一金
5493681,数据分析师（产品）,北京陌陌科技有限公司,陌陌,500-2000人,上市公司,社交平台,"['岗位晋升', '帅哥多', '管理规范', '技能培训']",开发|测试|运维类,"['社交平台', '数据分析']","['社交平台', '数据分析']",2021/4/26 19:55,北京,朝阳区,"['望京', '大山子', '花家地']",18k-35k,0,1-3年,全职,本科,核心团队
6841859,数据分析师-直播,北京陌陌科技有限公司,陌陌,500-2000人,上市公司,社交平台,"['岗位晋升', '帅哥多', '管理规范', '技能培训']",运营|编辑|客服类,"['运营', '数据分析']",[],2021/4/26 19:55,北京,朝阳区,"['望京', '大山子', '花家地']",15k-25k,0,3-5年,全职,不限,核心业务，发展空间大，福利待遇好
8517790,数据分析师,北京颐圣智能科技有限公司,颐圣智能,15-50人,A轮,"医疗丨健康,移动互联网","['股票期权', '绩效奖金', '带薪年假', '扁平管理']",开发|测试|运维类,"['人工智能服务', 'Spark']","['人工智能服务', 'Spark']",2021/4/25 12:24,北京,朝阳区,"['酒仙桥', '大山子']",10k-15k,13,1-3年,全职,本科,医疗人工智能、学习成长空间、
7685888,数据分析师,北京蜜莱坞网络科技有限公司,映客,500-2000人,上市公司,MCN｜直播平台,"['年底双薪', '专项奖金', '股票期权', '带薪年假']",产品|需求|项目类,['社交'],['社交'],2021/4/25 11:01,北京,朝阳区,,20k-40k,14,3-5年,全职,不限,上市公司，大神团队
8142790,数据分析师,北京蜜莱坞网络科技有限公司,映客,500-2000人,上市公司,MCN｜直播平台,"['年底双薪', '专项奖金', '股票期权', '带薪年假']",产品|需求|项目类,['直播'],['直播'],2021/4/25 11:01,北京,朝阳区,,15k-20k,14,1-3年,全职,不限,上市公司，大神团队
8543278,数据分析专家,北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,旅游｜出行,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",产品|需求|项目类,"['电商平台', '新零售']","['电商平台', '新零售']",2021/4/25 13:13,北京,海淀区,,20k-40k,0,3-5年,全职,本科,崭新平台 发展空间大 绩效奖金 弹性工作
7875789,数据分析实习生,微梦创科网络科技（中国）有限公司,微博,2000人以上,上市公司,社交媒体,"['年底双薪', '专项奖金', '股票期权', '五险一金']",开发|测试|运维类,"['数据分析', 'SQL', 'Excel']","['数据分析', 'SQL', 'Excel']",2021/4/26 9:53,北京,朝阳区,"['三里屯', '燕莎', '左家庄']",2k-3k,0,在校/应届,实习,本科,免费班车，实习证明，弹性工作制
8543278,数据分析专家,北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,旅游｜出行,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",产品|需求|项目类,"['电商平台', '新零售']","['电商平台', '新零售']",2021/4/25 13:13,北京,海淀区,,20k-40k,0,3-5年,全职,本科,崭新平台 发展空间大 绩效奖金 弹性工作
7875789,数据分析实习生,微梦创科网络科技（中国）有限公司,微博,2000人以上,上市公司,社交媒体,"['年底双薪', '专项奖金', '股票期权', '五险一金']",开发|测试|运维类,"['数据分析', 'SQL', 'Excel']","['数据分析', 'SQL', 'Excel']",2021/4/26 9:53,北京,朝阳区,"['三里屯', '燕莎', '左家庄']",2k-3k,0,在校/应届,实习,本科,免费班车，实习证明，弹性工作制
8360900,高级数据分析师,厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,"工具类产品,智能硬件","['节日礼物', '与大牛共事', '福利健全', '五险一金']",产品|需求|项目类,['数据分析'],[],2021/4/25 11:01,北京,海淀区,['五道口'],20k-30k,15,3-5年,全职,本科,良好的发展空间；年终奖；定期团建
7408812,数据分析师,北京鸿盈信息技术有限公司,360,2000人以上,上市公司,"工具类产品,信息检索,信息安全","['专项奖金', '年底双薪']",产品|需求|项目类,"['数据分析', '项目管理']",[],2021/4/25 11:00,北京,朝阳区,,15k-25k,15,1-3年,全职,本科,福利：五险一金，补充医疗保险
8696527,高级数据分析师（内容运营）-【DA】,北京达佳互联信息技术有限公司,快手,2000人以上,上市公司,短视频,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",485,['数据分析'],[],2021/4/26 21:19,北京,海淀区,['西二旗'],30k-50k,0,不限,全职,本科,"发展空间大,免费三餐,住房补贴"
8556360,数据分析工程师,北京鸿盈信息技术有限公司,360,2000人以上,上市公司,"工具类产品,信息检索,信息安全","['专项奖金', '年底双薪']",开发|测试|运维类,"['信息安全', '音频｜视频媒体']","['信息安全', '音频｜视频媒体']",2021/4/26 20:37,北京,朝阳区,"['酒仙桥', '将台路', '大山子']",20k-40k,15,3-5年,全职,本科,团队nice
8572310,数据分析师,北京小米科技有限责任公司,小米集团,2000人以上,上市公司,"智能硬件,电商平台","['快速成长', '免费班车', '扁平管理', '技能培训']",产品|需求|项目类,['数据分析'],[],2021/4/25 9:31,北京,海淀区,,20k-40k,14,3-5年,全职,本科,数据分析
8696489,数据分析师（用户增长）-【DA】,北京达佳互联信息技术有限公司,快手,2000人以上,上市公司,短视频,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",485,['数据分析'],[],2021/4/26 21:06,北京,海淀区,['西二旗'],20k-40k,0,不限,全职,本科,"发展空间大,免费三餐,住房补贴"
8132272,资深数据分析师,北京高途云集教育科技有限公司,高途课堂,2000人以上,上市公司,在线教育,"['绩效奖金', '午餐补助', '弹性工作', '领导好']",开发|测试|运维类,"['业务分析', 'SQL']",[],2021/4/25 10:33,北京,海淀区,,20k-40k,14,5-10年,全职,本科,六险一金，通勤班车，年底双薪
8287548,数据分析师,北京华图宏阳教育文化发展股份有限公司,华图教育集团,2000人以上,上市公司,教育,"['在线教育', '上市公司', '扁平管理', '带薪年假']",产品|需求|项目类,['数据分析'],[],2021/4/26 9:45,北京,海淀区,"['万寿路', '航天桥', '公主坟']",13k-15k,0,3-5年,全职,本科,平台大福利好
8688694,数据分析师,狮桥融资租赁（中国）有限公司,狮桥集团,2000人以上,不需要融资,旅游｜出行,"['绩效奖金', '带薪年假', '定期体检', '婚育津贴']",产品|需求|项目类,"['物流平台', '数据分析', '竞品分析', '用户增长']","['物流平台', '数据分析', '竞品分析', '用户增长']",2021/4/25 21:50,北京,朝阳区,"['望京', '大山子', '来广营']",15k-30k,0,不限,全职,本科,公司转型对自身有更多挑战也有更多的机遇
8326652,数据分析专员,欧科互动网络科技（北京）有限公司,欧科云链集团,500-2000人,不需要融资,区块链,"['节日礼物', '年度旅游', '扁平管理', '领导好']",产品|需求|项目类,"['区块链', '商业', '数据分析']","['区块链', '商业', '数据分析']",2021/4/25 23:29,北京,海淀区,"['西北旺', '上地', '清河']",10k-15k,0,在校/应届,全职,本科,弹性工作制 六险一金 内部培训
8320108,数据分析师,欧科互动网络科技（北京）有限公司,欧科云链集团,500-2000人,不需要融资,区块链,"['节日礼物', '年度旅游', '扁平管理', '领导好']",开发|测试|运维类,"['数据仓库', 'MySQL']",[],2021/4/25 23:29,北京,海淀区,"['西北旺', '上地', '清河']",15k-25k,0,在校/应届,全职,本科,弹性工作制 六险一金 内部培训
8205644,商业数据分析专家(J201229054),北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,旅游｜出行,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",产品|需求|项目类,['滴滴'],['滴滴'],2021/4/26 20:12,北京,海淀区,,25k-50k,0,3-5年,全职,本科,网约车核心业务、供需调度、智能补贴
7595431,数据分析工程师（高级）,联通支付有限公司,联通支付有限公司,150-500人,不需要融资,科技金融,"['带薪年假', '交通补助', '通讯津贴', '午餐补助']",产品|需求|项目类,['数据分析'],[],2021/4/26 18:13,北京,西城区,,20k-40k,0,5-10年,全职,本科,"弹性工作,试用期全薪"
8034085,数据分析师-北京,神策网络科技（北京）有限公司,神策数据,500-2000人,C轮,数据服务｜咨询,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",金融类,"['企业服务', '大数据', '行业研究', '分析师', '策略设计']","['企业服务', '大数据', '行业研究', '分析师', '策略设计']",2021/4/26 16:39,北京,海淀区,"['学院路', '中关村', '知春路']",20k-30k,14,5-10年,全职,本科,大数据项目 互联网行业 职位晋升快
8494625,数据分析师,北京直客通科技有限公司,直客通,150-500人,D轮及以上,"旅游｜出行,软件服务｜咨询","['技能培训', '绩效奖金', '岗位晋升', '估值过亿']",产品|需求|项目类,"['用户研究', '数据分析', '项目管理']",[],2021/4/25 16:25,北京,朝阳区,"['望京', '大山子', '酒仙桥']",15k-30k,14,3-5年,全职,本科,结果导向 直言不讳
8597836,高级数据分析师（Senior Data Analyst）,百倍斯通科技咨询（北京）有限公司,百倍斯通,50-150人,不需要融资,"金融,移动互联网","['定期体检', '绩效奖金', '五险一金', '带薪年假']",开发|测试|运维类,"['数据挖掘', '数仓建模', '数仓工程师']",[],2021/4/26 14:45,北京,朝阳区,,20k-30k,0,3-5年,全职,本科,薪资丰厚，外企，氛围宽松
